Приложение 3. Часть 1;;;;;;;;;;;;;;;;;;;;;;;Приложение 3. Часть 2;;;;;;;;;;;;;;;;;;
58322,00;46,00;1,00;0,80;0,90;-;-;5,00;-;-;-;-;-;-;-;-;2,01;2,73;-;-;0,23;0,20;0,38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Глина легкая полутвердая среднедеформируемый;
58323,00;46,00;3,00;2,80;3,00;0,00;0,00;5,00;0,00;0,10;8,10;84,30;(;(;(;7,50;-;2,66;-;-;0,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
58324,00;46,00;3,00;3,80;4,00;0,00;0,00;5,00;3,10;2,90;22,80;56,70;(;(;(;14,50;-;2,66;-;-;0,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
58325,00;46,00;4,00;6,80;7,00;-;-;5,00;-;-;-;-;-;-;-;-;2,03;2,72;-;-;0,14;0,11;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый ненабухающий;
58326,00;46,00;4,00;8,80;9,00;-;-;5,00;-;-;-;-;-;-;-;-;2,11;2,72;-;-;0,15;0,12;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый;
58328,00;46,00;6,00;12,80;13,00;0,00;0,00;5,00;0,20;1,60;20,10;70,60;(;(;(;7,50;-;2,66;1,49;1,66;0,12;-;-;-;7,53;3,89;-;-;-;-;-;-;-;-;-;-;-;-;33,00;29,00;Песок мелкий однородный;
58333,00;46,00;6,00;22,80;23,00;0,00;0,00;5,00;0,00;0,10;58,90;23,60;(;(;(;17,40;-;2,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок средней крупностинеоднородный;
59527,00;48,00;3,00;0,80;1,00;0,00;0,00;5,00;0,20;5,00;23,70;60,10;(;(;(;11,00;-;2,66;-;-;0,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
59528,00;48,00;3,00;2,80;3,00;0,00;0,00;5,00;1,90;3,10;22,10;57,40;(;(;(;15,50;-;2,66;-;-;0,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
59543,00;49,00;3,00;2,80;3,00;0,00;0,00;5,00;0,80;6,20;26,70;52,00;(;(;(;13,30;-;2,66;-;-;0,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
58234,00;50,00;1,00;0,80;1,00;-;-;5,00;-;-;-;-;-;-;-;-;2,01;2,71;-;-;0,16;0,12;0,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий тугопластичный среднедеформируемый;
58238,00;50,00;6,00;8,80;9,00;0,00;0,00;5,00;0,10;0,70;9,40;86,20;(;(;(;3,10;-;2,66;1,46;1,62;0,05;-;-;-;8,65;4,53;-;-;-;-;-;-;-;-;-;-;-;-;34,00;31,00;Песок мелкий однородный;
58241,00;50,00;7,00;14,80;15,00;0,00;0,00;5,00;0,20;0,40;1,40;66,30;(;(;(;31,70;-;2,66;1,47;1,68;0,05;-;-;-;1,30;0,74;-;-;-;-;-;-;-;-;-;-;-;-;31,00;27,00;Песок пылеватый неоднородный;
58247,00;50,00;7,00;26,80;27,00;0,00;0,00;5,00;0,30;0,50;13,80;50,80;(;(;(;34,00;-;2,66;-;-;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
57869,00;56,00;1,00;0,80;1,00;-;-;5,00;-;-;-;-;-;-;-;-;1,97;2,73;-;-;0,27;0,22;0,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Глина легкая полутвердая среднедеформируемая;
57870,00;56,00;3,00;2,80;3,00;0,00;0,00;5,00;0,20;0,40;2,20;59,80;(;(;(;37,20;1,92;2,67;-;-;0,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый средней плотности неоднородный средней степени водонасыщения;
57871,00;56,00;5,00;4,80;5,00;-;-;5,00;-;-;-;-;-;-;-;-;2,13;2,70;-;-;0,15;0,12;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый среднедеформируемый;
57873,00;56,00;6,00;8,80;9,00;0,00;0,00;5,00;0,10;0,20;13,50;79,10;(;(;(;7,00;-;2,66;1,40;1,60;0,08;-;-;-;5,84;3,89;-;-;-;-;-;-;-;-;-;-;-;-;33,00;30,00;Песок мелкий однородный;
57876,00;56,00;7,00;14,80;15,00;0,00;0,00;5,00;0,10;0,20;1,20;66,00;(;(;(;32,40;-;2,67;1,44;1,62;0,05;-;-;-;3,97;1,99;-;-;-;-;-;-;-;-;-;-;-;-;32,00;28,00;Песок пылеватый однородный;
57878,00;56,00;6,00;18,80;19,00;0,00;0,00;5,00;0,00;0,10;15,80;64,00;(;(;(;20,00;1,91;2,66;-;-;0,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий средней плотности однородный средней степени водонасыщения;
57666,00;60,00;2,00;1,80;2,00;-;-;5,00;-;-;-;-;-;-;-;-;1,98;2,74;-;-;0,27;0,20;0,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Глина легкая тугопластичная среднедеформируемая незасоленая;
57667,00;60,00;4,00;3,80;4,00;-;-;5,00;-;-;-;-;-;-;-;-;2,12;2,72;-;-;0,13;0,11;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый среднедеформируемый незасоленый;
57669,00;60,00;5,00;7,80;8,00;-;-;5,00;-;-;-;-;-;-;-;-;2,10;2,72;-;-;0,15;0,11;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый тугопластичный среднедеформируемый;
57670,00;60,00;7,00;9,80;10,00;0,00;0,00;5,00;0,50;6,20;29,10;35,60;(;(;(;28,50;-;2,67;1,42;1,64;0,09;-;-;-;2,16;1,24;-;-;-;-;-;-;-;-;-;-;-;-;33,00;29,00;Песок пылеватый неоднородный;
57672,00;60,00;6,00;13,80;14,00;0,00;0,20;5,00;4,10;23,60;36,70;21,00;(;(;(;13,20;-;2,66;1,43;1,68;0,04;-;-;-;19,86;7,22;-;-;-;-;-;-;-;-;-;-;-;-;33,00;30,00;Песок средней крупностинеоднородный незасоленый;
57673,00;60,00;7,00;15,80;16,00;0,00;0,00;5,00;0,40;1,10;3,70;54,70;(;(;(;40,00;-;2,67;1,45;1,64;0,05;-;-;-;3,89;1,95;0,00;-;-;-;-;-;-;-;-;-;-;-;33,00;29,00;Песок пылеватый однородный;
57674,00;60,00;7,00;17,80;18,00;0,00;0,00;5,00;0,00;0,30;44,60;28,10;(;(;(;26,80;-;2,67;1,42;1,64;0,09;-;-;-;3,06;1,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
57675,00;60,00;6,00;19,80;20,00;0,00;0,00;5,00;0,10;0,50;18,90;63,10;(;(;(;17,30;-;2,66;-;-;0,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57677,00;60,00;7,00;23,80;24,00;0,00;0,00;5,00;0,00;0,20;6,30;44,60;(;(;(;48,90;-;2,67;-;-;0,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
57679,00;60,00;6,00;28,80;29,00;0,00;0,00;5,00;0,30;1,10;8,60;78,20;(;(;(;11,70;-;2,66;-;-;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный незасоленый;
57654,00;63,00;4,00;5,80;6,00;-;-;5,00;-;-;-;-;-;-;-;-;2,15;2,72;-;-;0,14;0,11;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый;
57656,00;63,00;6,00;9,80;10,00;0,00;0,00;5,00;0,70;6,70;33,60;41,20;(;(;(;17,60;-;2,66;-;-;0,06;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
57657,00;63,00;6,00;11,80;12,00;0,00;0,00;5,00;0,10;3,20;24,50;63,80;(;(;(;8,40;-;2,66;1,40;1,64;0,05;-;-;-;7,12;3,67;-;-;-;-;-;-;-;-;-;-;-;-;33,00;29,00;Песок мелкий однородный;
57659,00;63,00;7,00;15,80;16,00;0,00;0,00;5,00;0,00;0,30;5,00;45,90;(;(;(;48,80;-;2,68;-;-;0,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
57660,00;63,00;6,00;17,80;18,00;0,00;0,00;0,00;0,00;0,30;39,90;43,00;(;(;(;16,80;-;2,66;1,41;1,61;0,15;-;-;-;1,32;44,69;0,00;-;-;-;-;-;-;-;-;-;-;-;34,00;-;Песок мелкий неоднородный;
57665,00;63,00;6,00;28,80;29,00;0,00;0,00;5,00;0,60;5,20;21,80;58,70;(;(;(;12,90;-;2,66;1,43;-;0,24;-;-;-;1,95;-;-;-;-;-;-;-;-;-;-;-;-;-;34,00;-;Песок мелкий однородный незасоленый;
58277,00;66,00;1,00;0,80;1,00;-;-;5,00;-;-;-;-;-;-;-;-;2,18;2,71;-;-;0,14;0,14;0,22;-;-;-;-;-;-;-;-;2,20;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый минеральный среднедеформируемый;
58278,00;66,00;5,00;2,80;3,00;-;-;5,00;-;-;-;-;-;-;-;-;2,01;2,72;-;-;0,22;0,17;0,30;-;-;-;-;-;-;-;-;3,06;-;-;-;-;-;-;-;-;Суглинок тяжелый тугопластичный с примесью органического вещества среднедеформируемый;
58279,00;66,00;4,00;4,80;5,00;-;-;5,00;-;-;-;-;-;-;-;-;2,10;2,74;-;-;0,19;0,13;0,37;-;-;-;-;-;-;-;-;3,14;-;-;-;-;-;-;-;-;Глина легкая полутвердая с примесью органического вещества среднедеформируемый;
58280,00;66,00;6,00;6,80;7,00;0,00;0,00;5,00;0,10;1,30;17,20;75,90;(;(;(;5,50;-;2,66;-;-;0,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
58282,00;66,00;7,00;10,80;11,00;0,00;0,00;5,00;0,40;1,90;6,30;40,80;(;(;(;50,60;-;2,67;1,32;1,56;0,10;-;-;-;2,98;1,69;-;-;-;-;-;-;-;-;-;-;-;-;44,00;30,00;Песок пылеватый неоднородный;
58284,00;66,00;6,00;14,80;15,00;0,00;0,00;5,00;0,00;0,00;20,90;60,60;(;(;(;18,50;-;2,66;-;-;0,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
58288,00;66,00;6,00;22,80;23,00;0,90;0,30;5,00;0,10;1,80;9,80;75,10;(;(;(;11,90;-;2,66;-;-;0,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
58290,00;66,00;6,00;26,80;27,00;0,00;0,00;5,00;0,10;1,30;7,80;78,60;(;(;(;12,10;-;2,66;-;-;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
58291,00;66,00;6,00;28,80;29,00;0,00;0,10;5,00;0,10;1,30;7,80;78,80;(;(;(;11,70;-;2,66;-;-;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57884,00;70,00;1,00;1,80;2,00;-;-;5,00;-;-;-;-;-;-;-;-;2,06;2,70;-;-;0,17;0,14;0,21;-;-;-;0,50;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок мягкопластичный ;
57885,00;70,00;4,00;3,80;4,00;-;-;5,00;-;-;-;-;-;-;-;-;2,13;2,72;-;-;0,14;0,11;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый среднедеформируемый;
57886,00;70,00;4,00;5,80;6,00;-;-;5,00;-;-;-;-;-;-;-;-;2,14;2,72;-;-;0,14;0,12;0,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый;
57887,00;70,00;6,00;7,80;8,00;0,00;0,30;7,00;0,90;1,60;10,30;73,80;(;(;(;12,80;-;2,66;1,50;1,67;0,07;-;-;-;6,09;3,29;0,00;-;-;-;-;-;-;-;-;-;-;-;31,00;-;Песок мелкий однородный незасоленый;
57889,00;70,00;6,00;11,80;12,00;0,00;0,00;7,00;0,00;8,80;47,20;40,10;(;(;(;3,90;-;2,66;1,55;1,75;0,04;-;-;-;10,58;5,41;-;-;-;-;-;-;-;-;-;-;-;-;31,00;-;Песок средней крупностиоднородный незасоленый;
57891,00;70,00;7,00;15,80;16,00;0,00;0,00;7,00;0,10;4,80;21,50;37,90;(;(;(;35,60;-;2,67;3,56;1,66;0,07;-;-;-;1,99;1,32;0,00;-;-;-;-;-;-;-;-;-;-;-;35,00;31,00;Песок пылеватый неоднородный;
57892,00;70,00;6,00;17,80;18,00;0,00;0,00;7,00;0,10;0,30;49,60;27,00;(;(;(;23,00;-;2,66;1,38;1,58;0,16;-;-;-;1,30;0,49;-;-;-;-;-;-;-;-;-;-;-;-;44,00;30,00;Песок мелкий неоднородный;
57893,00;70,00;7,00;19,80;20,00;0,00;0,00;0,20;0,00;0,10;4,20;40,90;(;(;(;54,60;-;2,67;1,38;1,60;0,24;-;-;-;0,80;0,34;-;-;-;-;-;-;-;-;-;-;-;-;36,00;30,00;Песок пылеватый однородный;
57897,00;70,00;6,00;28,80;29,00;0,00;0,00;7,00;0,10;1,40;7,50;77,90;(;(;(;13,10;-;2,66;1,34;1,54;0,27;-;-;-;2,92;0,93;-;-;-;-;-;-;-;-;-;-;-;-;34,00;30,00;Песок мелкий однородный;
57898,00;75,00;1,00;1,80;2,00;-;-;7,00;-;-;-;-;-;-;-;-;1,91;2,72;-;-;0,27;0,16;0,31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый мягкопластичный среднедеформируемый;
57899,00;75,00;4,00;3,80;4,00;-;-;7,00;-;-;-;-;-;-;-;-;2,01;2,71;-;-;0,21;0,14;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий мягкопластичный ;
57900,00;75,00;6,00;5,80;6,00;0,00;0,00;7,00;0,00;0,00;0,30;93,50;(;(;(;6,10;-;2,66;1,45;1,62;0,07;-;-;-;7,27;4,06;-;-;-;-;-;-;-;-;-;-;-;-;31,00;28,00;Песок мелкий однородный;
57902,00;75,00;6,00;9,80;10,00;0,00;0,00;7,00;0,00;0,70;20,70;73,50;(;(;(;5,10;-;2,66;1,46;1,65;0,05;-;-;-;6,87;3,89;-;-;-;-;-;-;-;-;-;-;-;-;31,00;28,00;Песок мелкий однородный;
57904,00;75,00;7,00;13,80;14,00;0,00;0,00;7,00;0,00;0,10;0,30;48,50;(;(;(;51,00;-;2,67;-;-;0,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый однородный;
57906,00;75,00;7,00;17,80;18,00;0,00;0,00;7,00;0,00;0,30;5,90;41,70;(;(;(;51,90;-;2,67;-;-;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый однородный;
57910,00;75,00;6,00;25,80;26,00;0,00;0,00;7,00;0,30;4,20;19,00;62,20;(;(;(;14,30;-;2,66;-;-;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57911,00;75,00;6,00;28,80;29,00;0,00;0,00;7,00;0,20;1,30;9,20;69,80;(;(;(;19,30;-;2,66;-;-;0,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57912,00;76,00;2,00;1,80;2,00;-;-;7,00;-;-;-;-;-;-;-;-;2,04;2,74;-;-;0,23;0,20;0,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Глина легкая полутвердая среднедеформируемый;
57913,00;76,00;5,00;3,80;4,00;-;-;7,00;-;-;-;-;-;-;-;-;2,04;2,71;-;-;0,19;0,17;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый среднедеформируемый незасоленый;
57915,00;76,00;6,00;7,80;8,00;0,00;0,00;7,00;0,10;0,80;8,80;81,80;(;(;(;8,50;-;2,66;1,49;1,63;0,04;-;-;-;5,96;2,65;-;-;-;-;-;-;-;-;-;-;-;-;31,00;28,00;Песок мелкий однородный;
57917,00;76,00;6,00;11,80;12,00;0,00;0,00;7,00;0,10;1,50;25,60;64,80;(;(;(;7,90;-;2,66;-;-;0,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57919,00;76,00;7,00;15,80;16,00;0,00;0,00;7,00;0,80;6,80;6,60;31,50;(;(;(;54,30;2,07;2,67;1,28;1,63;0,11;-;-;-;0,93;0,36;-;-;-;-;-;-;-;-;-;-;-;-;44,00;31,00;Песок пылеватый плотный однородный средней степени водонасыщения;
57925,00;76,00;6,00;28,80;29,00;0,00;0,00;7,00;0,00;1,50;7,80;80,70;(;(;(;10,00;-;2,66;-;-;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
58263,00;79,00;1,00;1,80;2,00;-;-;7,00;-;-;-;-;-;-;-;-;2,09;2,71;-;-;0,20;0,14;0,24;-;-;-;-;-;-;-;-;2,38;-;-;-;-;-;-;-;-;Суглинок легкий мягкопластичный  без органики среднедеформируемый;
58264,00;79,00;4,00;3,80;4,00;0,00;0,00;7,00;0,50;2,10;0,00;31,80;(;(;(;65,30;-;2,66;-;-;0,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
58267,00;79,00;7,00;9,80;10,00;0,00;0,00;7,00;0,30;0,70;2,40;69,80;(;(;(;26,80;-;2,66;1,45;1,69;0,05;-;-;-;2,08;1,01;-;-;-;-;-;-;-;-;-;-;-;-;31,00;28,00;Песок пылеватый однородный;
58271,00;79,00;7,00;17,80;18,00;-;-;7,00;-;-;-;-;-;-;-;-;-;2,70;-;-;0,27;0,16;0,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Супесь текучая;
58276,00;79,00;6,00;28,80;29,00;0,00;0,70;7,00;0,30;1,50;8,10;74,30;(;(;(;14,30;-;2,66;-;-;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57929,00;82,00;4,00;6,80;7,00;-;-;7,00;-;-;-;-;-;-;-;-;2,13;2,71;-;-;0,16;0,14;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый;
57930,00;82,00;6,00;8,80;9,00;0,00;0,00;7,00;0,00;0,90;4,40;74,20;(;(;(;20,50;1,41;2,66;1,47;1,64;0,04;-;-;-;5,43;3,20;-;-;-;-;-;-;-;-;-;-;-;-;32,00;28,00;Песок мелкий рыхлый неоднородный малой степени водонасыщения;
57931,00;82,00;7,00;10,80;11,00;0,00;0,00;7,00;0,20;1,60;8,30;35,70;(;(;(;54,20;1,55;2,67;1,35;1,58;0,08;-;-;-;1,35;0,85;-;-;-;-;-;-;-;-;-;-;-;-;37,00;30,00;Песок пылеватый рыхлый однородный среднеуплотненный малой степени водонасыщения;
57933,00;82,00;7,00;14,80;15,00;0,00;0,00;7,00;0,00;0,10;1,80;36,00;(;(;(;62,00;-;2,67;-;-;0,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый однородный;
57934,00;82,00;6,00;16,80;17,00;-;-;7,00;-;-;-;-;-;-;-;-;-;2,68;-;-;0,24;0,16;0,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Супесь текучая;
57936,00;82,00;6,00;20,80;21,00;0,00;0,00;7,00;0,30;2,70;22,60;50,20;(;(;(;24,00;-;2,66;1,33;1,49;0,22;-;-;-;1,32;0,28;-;-;-;-;-;-;-;-;-;-;-;-;44,00;31,00;Песок мелкий однородный;
57938,00;82,00;6,00;24,80;25,00;0,00;0,00;7,00;0,20;2,60;17,30;64,30;(;(;(;15,60;-;2,66;-;-;0,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57940,00;82,00;6,00;28,80;29,00;0,00;0,00;7,00;0,00;0,30;1,80;84,80;(;(;(;13,10;-;2,66;1,26;1,48;0,29;-;-;-;3,89;1,35;-;-;-;-;-;-;-;-;-;-;-;-;44,00;30,00;Песок мелкий однородный;
57941,00;85,00;1,00;0,80;1,00;-;-;7,00;-;-;-;-;-;-;-;-;1,98;2,73;-;-;0,21;0,15;0,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Глина легкая тугопластичная среднедеформируемый;
57942,00;85,00;2,00;2,80;3,00;-;-;7,00;-;-;-;-;-;-;-;-;1,98;2,72;-;-;0,20;0,16;0,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый тугопластичный;
57943,00;85,00;4,00;4,80;5,00;-;-;7,00;-;-;-;-;-;-;-;-;2,02;2,71;-;-;0,19;0,17;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый;
57944,00;85,00;6,00;6,80;7,00;0,00;0,00;7,00;0,00;0,70;31,60;63,40;(;(;(;4,30;-;2,66;-;-;0,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57946,00;85,00;7,00;10,80;11,00;0,00;0,00;7,00;0,10;0,10;0,30;64,80;(;(;(;34,70;-;2,67;-;-;0,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
57952,00;85,00;7,00;22,80;23,00;0,00;0,00;7,00;0,10;0,10;7,80;59,00;(;(;(;32,70;-;2,67;-;-;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
57955,00;85,00;6,00;28,80;29,00;0,00;0,00;7,00;0,20;0,90;6,10;74,50;(;(;(;18,10;-;2,66;-;-;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
57959,00;87,00;6,00;7,80;8,00;0,00;0,00;7,00;0,10;0,10;0,30;64,80;(;(;(;34,70;-;2,66;-;-;0,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
